Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	Library
8	36.80266763130248	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
9	36.82418574815373	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
10-14	36.812784066781084	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
15-19	36.81062017783594	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
20-24	36.80393828757146	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
25-29	36.78510294468407	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
30-34	36.77166935516938	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
35-39	36.75319086292339	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
40-44	36.74459873250921	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
45-49	36.715782442776735	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
50-54	36.68523273042773	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
55-59	36.69062728610062	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
60-64	36.69560629242865	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
65-69	36.674298658000055	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
70-74	36.6590152360061	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
75-79	36.663957730721975	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
80-84	36.66942780226117	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
85-89	36.6704945384211	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
90-94	36.659003412979324	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
95-99	36.6521934144386	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
100-104	36.638624003305225	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
105-109	36.61805102087039	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
110-114	36.615194969337615	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
115-119	36.605878480475695	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
120-124	36.60002004203064	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
125-129	36.57537317839386	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
130-134	36.537620347450144	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
135-139	36.5370537391207	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
140-144	36.524034839813496	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
145-149	36.478766026670556	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
150-151	36.73400463226142	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
1	36.639941189665514	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
2	36.722502662815806	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
3	36.80055313252167	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
4	36.832402402454825	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
5	36.85146564698496	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
6	36.85964902327538	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
7	36.85998243894435	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
8	36.85803867796323	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
9	36.860560679469714	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
10-14	36.86434535462655	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
15-19	36.860115703383414	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
20-24	36.8530055124142	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
25-29	36.844780459165165	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
30-34	36.83944273905918	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
35-39	36.83165970886935	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
40-44	36.82690844830501	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
45-49	36.817658549187975	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
50-54	36.80428789636924	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
55-59	36.80084092123707	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
60-64	36.801516228650065	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
65-69	36.78904596821964	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
70-74	36.788134464351	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
75-79	36.785889708655326	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
80-84	36.77962851431861	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
85-89	36.774944085238964	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
90-94	36.767107267435435	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
95-99	36.76152570937956	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
100-104	36.75005166507659	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
105-109	36.74714691330862	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
110-114	36.73559209134563	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
115-119	36.719928594288156	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
120-124	36.71349811738432	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
125-129	36.70473809868629	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
130-134	36.676485581184515	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
135-139	36.67887402565572	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
140-144	36.655034071318354	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
145-149	36.64765165913971	37.0	37.0	37.0	37.0	37.0	V05_DN_R1_rmphix_fastqc
