Duplication_Level	Percentage_of_deduplicated	Percentage_of_total	Library
7	0.06350381157267096	0.33636559611316513	V03_DN_R2_rmphix_fastqc
8	0.030165765412193738	0.1826072737331856	V03_DN_R2_rmphix_fastqc
9	0.017808954694574695	0.12128153215820574	V03_DN_R2_rmphix_fastqc
>10	0.032885928840427264	0.3314477205686739	V03_DN_R2_rmphix_fastqc
>50	4.8635152978643287E-4	0.023424009315607754	V03_DN_R2_rmphix_fastqc
>100	1.373489125786673E-4	0.021834812825748916	V03_DN_R2_rmphix_fastqc
>500	6.259937656034987E-5	0.031674520625960066	V03_DN_R2_rmphix_fastqc
>1k	1.926888536182464E-5	0.01552388037391161	V03_DN_R2_rmphix_fastqc
>5k	0.0	0.0	V03_DN_R2_rmphix_fastqc
>10k+	4.708452633492667E-6	0.1961786815610276	V03_DN_R2_rmphix_fastqc
1	76.81949637398975	58.071883719745465	V05_DN_R1_rmphix_fastqc
2	16.961056911219323	25.64350382921309	V05_DN_R1_rmphix_fastqc
3	4.390065441934497	9.956041704241612	V05_DN_R1_rmphix_fastqc
4	1.2446629295034624	3.7636237842806795	V05_DN_R1_rmphix_fastqc
5	0.3764146378913816	1.422757770736939	V05_DN_R1_rmphix_fastqc
6	0.11990605443743725	0.5438596277708985	V05_DN_R1_rmphix_fastqc
7	0.05017795909238847	0.265525045108961	V05_DN_R1_rmphix_fastqc
8	0.01562433059212292	0.09449000341552227	V05_DN_R1_rmphix_fastqc
9	0.007934865980542568	0.05398542982883525	V05_DN_R1_rmphix_fastqc
>10	0.014204642272979462	0.1530604027216977	V05_DN_R1_rmphix_fastqc
>50	3.286995820897561E-4	0.01648579680496013	V05_DN_R1_rmphix_fastqc
>100	1.271535040411054E-4	0.014782886131338272	V05_DN_R1_rmphix_fastqc
>500	0.0	0.0	V05_DN_R1_rmphix_fastqc
>1k	0.0	0.0	V05_DN_R1_rmphix_fastqc
>5k	0.0	0.0	V05_DN_R1_rmphix_fastqc
>10k+	0.0	0.0	V05_DN_R1_rmphix_fastqc
1	77.41025481480906	58.865844982291925	V05_DN_R2_rmphix_fastqc
2	16.545567930701065	25.16381942631981	V05_DN_R2_rmphix_fastqc
3	4.297055989078161	9.80295823874151	V05_DN_R2_rmphix_fastqc
4	1.1868096676484106	3.6099896111393033	V05_DN_R2_rmphix_fastqc
5	0.3573050972382319	1.3585452286474544	V05_DN_R2_rmphix_fastqc
6	0.11293563211804301	0.5152845520900718	V05_DN_R2_rmphix_fastqc
7	0.046810247867012156	0.2491746553192504	V05_DN_R2_rmphix_fastqc
8	0.018527966334453902	0.11271523615989296	V05_DN_R2_rmphix_fastqc
9	0.0077347371178990085	0.05293622318196098	V05_DN_R2_rmphix_fastqc
>10	0.016430930905217987	0.17883306014689732	V05_DN_R2_rmphix_fastqc
>50	3.138655494432885E-4	0.01801396700963139	V05_DN_R2_rmphix_fastqc
>100	2.465042040677002E-4	0.027658844977919497	V05_DN_R2_rmphix_fastqc
>500	0.0	0.0	V05_DN_R2_rmphix_fastqc
>1k	0.0	0.0	V05_DN_R2_rmphix_fastqc
>5k	6.6164288333005186E-6	0.04422597397436945	V05_DN_R2_rmphix_fastqc
>10k+	0.0	0.0	V05_DN_R2_rmphix_fastqc
1	73.54557547055511	52.927486926809706	V09_DN_R1_rmphix_fastqc
2	18.51894559402214	26.654526653838666	V09_DN_R1_rmphix_fastqc
3	5.302874323832333	11.448729974035741	V09_DN_R1_rmphix_fastqc
4	1.6954318163133923	4.880508159414747	V09_DN_R1_rmphix_fastqc
5	0.5545358218540437	1.995374111483994	V09_DN_R1_rmphix_fastqc
6	0.2013302871487868	0.8693308392403146	V09_DN_R1_rmphix_fastqc
7	0.08639107214506785	0.43520274586297275	V09_DN_R1_rmphix_fastqc
8	0.03647700747828173	0.2100070683065198	V09_DN_R1_rmphix_fastqc
9	0.020882742339679808	0.13525544651692378	V09_DN_R1_rmphix_fastqc
>10	0.03651087476987479	0.3600427884511191	V09_DN_R1_rmphix_fastqc
