GC_Content	Count	Library
47	499303.0	V01_DN_R2_rmphix_fastqc
48	530010.0	V01_DN_R2_rmphix_fastqc
49	566105.5	V01_DN_R2_rmphix_fastqc
50	606202.5	V01_DN_R2_rmphix_fastqc
51	653744.5	V01_DN_R2_rmphix_fastqc
52	709597.5	V01_DN_R2_rmphix_fastqc
53	775010.5	V01_DN_R2_rmphix_fastqc
54	850333.5	V01_DN_R2_rmphix_fastqc
55	932675.0	V01_DN_R2_rmphix_fastqc
56	1024599.5	V01_DN_R2_rmphix_fastqc
57	1125877.5	V01_DN_R2_rmphix_fastqc
58	1236546.5	V01_DN_R2_rmphix_fastqc
59	1356089.0	V01_DN_R2_rmphix_fastqc
60	1479695.5	V01_DN_R2_rmphix_fastqc
61	1603404.0	V01_DN_R2_rmphix_fastqc
62	1723020.5	V01_DN_R2_rmphix_fastqc
63	1832372.5	V01_DN_R2_rmphix_fastqc
64	1919673.0	V01_DN_R2_rmphix_fastqc
65	1974896.0	V01_DN_R2_rmphix_fastqc
66	1990513.5	V01_DN_R2_rmphix_fastqc
67	1959655.0	V01_DN_R2_rmphix_fastqc
68	1881302.5	V01_DN_R2_rmphix_fastqc
69	1756761.0	V01_DN_R2_rmphix_fastqc
70	1592720.5	V01_DN_R2_rmphix_fastqc
71	1396203.0	V01_DN_R2_rmphix_fastqc
72	1183537.5	V01_DN_R2_rmphix_fastqc
73	969848.0	V01_DN_R2_rmphix_fastqc
74	767071.0	V01_DN_R2_rmphix_fastqc
75	586039.5	V01_DN_R2_rmphix_fastqc
76	432700.5	V01_DN_R2_rmphix_fastqc
77	310018.5	V01_DN_R2_rmphix_fastqc
78	215584.5	V01_DN_R2_rmphix_fastqc
79	146339.0	V01_DN_R2_rmphix_fastqc
80	96563.5	V01_DN_R2_rmphix_fastqc
81	62012.5	V01_DN_R2_rmphix_fastqc
82	39117.0	V01_DN_R2_rmphix_fastqc
83	24549.0	V01_DN_R2_rmphix_fastqc
84	15321.0	V01_DN_R2_rmphix_fastqc
85	9185.0	V01_DN_R2_rmphix_fastqc
86	5225.0	V01_DN_R2_rmphix_fastqc
87	2918.5	V01_DN_R2_rmphix_fastqc
88	1596.5	V01_DN_R2_rmphix_fastqc
89	833.0	V01_DN_R2_rmphix_fastqc
90	403.5	V01_DN_R2_rmphix_fastqc
91	211.5	V01_DN_R2_rmphix_fastqc
92	116.0	V01_DN_R2_rmphix_fastqc
93	60.0	V01_DN_R2_rmphix_fastqc
94	34.0	V01_DN_R2_rmphix_fastqc
95	17.5	V01_DN_R2_rmphix_fastqc
96	8.5	V01_DN_R2_rmphix_fastqc
97	18.0	V01_DN_R2_rmphix_fastqc
98	47.0	V01_DN_R2_rmphix_fastqc
99	24545.0	V01_DN_R2_rmphix_fastqc
100	89453.5	V01_DN_R2_rmphix_fastqc
0	12.0	V03_DN_R1_rmphix_fastqc
1	8.5	V03_DN_R1_rmphix_fastqc
2	6.5	V03_DN_R1_rmphix_fastqc
