Position	Illumina_Universal_Adapter	Illumina_Small_RNA_3_Adapter	Illumina_Small_RNA_5_Adapter	Nextera_Transposase_Sequence	SOLID_Small_RNA_Adapter	Library
4	1.0534025309944601E-5	1.3167531637430752E-5	5.793713920469531E-5	2.6335063274861504E-6	1.3694232902927982E-4	V03_DN_R1_rmphix_fastqc
5	1.8434544292403053E-5	1.8434544292403053E-5	6.583765818715376E-5	2.6335063274861504E-6	1.6064388597665519E-4	V03_DN_R1_rmphix_fastqc
6	2.3701556947375353E-5	2.3701556947375353E-5	8.427220247955681E-5	2.6335063274861504E-6	1.975129745614613E-4	V03_DN_R1_rmphix_fastqc
7	2.6335063274861504E-5	2.6335063274861504E-5	1.0007324044447371E-4	5.267012654972301E-6	2.4228258212872583E-4	V03_DN_R1_rmphix_fastqc
8	2.6335063274861504E-5	3.9502594912292256E-5	1.1060726575441832E-4	5.267012654972301E-6	2.712511517310735E-4	V03_DN_R1_rmphix_fastqc
9	3.1602075929833804E-5	5.530363287720916E-5	1.2904181004682138E-4	5.267012654972301E-6	3.133872529708519E-4	V03_DN_R1_rmphix_fastqc
10-14	4.582301009825901E-5	7.321147590411497E-5	1.5853708091466626E-4	5.267012654972301E-6	3.971327541849114E-4	V03_DN_R1_rmphix_fastqc
15-19	7.110467084212606E-5	1.016533442409654E-4	2.1278731126088096E-4	7.373817716961221E-6	5.583033414270638E-4	V03_DN_R1_rmphix_fastqc
20-24	9.743973411698756E-5	1.279884075158269E-4	2.670375416070957E-4	1.3167531637430752E-5	7.589765235815086E-4	V03_DN_R1_rmphix_fastqc
25-29	1.3904913409126874E-4	1.4905645813571614E-4	3.2392127828079654E-4	1.3167531637430752E-5	9.659701209219201E-4	V03_DN_R1_rmphix_fastqc
30-34	2.317485568187812E-4	1.6907110622461086E-4	3.9133904026444194E-4	1.4220934168425211E-5	0.0011866579511652594	V03_DN_R1_rmphix_fastqc
35-39	4.0081966304339207E-4	2.0383338974742804E-4	4.382154528936954E-4	1.9487946823397512E-5	0.001433154143417963	V03_DN_R1_rmphix_fastqc
40-44	5.751577819229752E-4	2.4438938719071473E-4	5.040531110808491E-4	2.1068050619889203E-5	0.0016491016622718273	V03_DN_R1_rmphix_fastqc
45-49	7.89525196980348E-4	2.6914434666908463E-4	5.656771591440251E-4	2.2121453150883662E-5	0.0018239664824169076	V03_DN_R1_rmphix_fastqc
50-54	9.923051841967815E-4	3.0864694158137687E-4	6.230875970832231E-4	2.6861764540358732E-5	0.0020151590417924023	V03_DN_R1_rmphix_fastqc
55-59	0.0012156265207676072	3.233945770152992E-4	6.941922679253494E-4	2.896856960234765E-5	0.0022337400669737526	V03_DN_R1_rmphix_fastqc
60-64	0.0015184797484285144	3.481495364936691E-4	7.468623944750722E-4	2.896856960234765E-5	0.00243968026178317	V03_DN_R1_rmphix_fastqc
65-69	0.0018624156747982055	3.713243921755472E-4	7.868916906528618E-4	3.1602075929833804E-5	0.0026313995224241616	V03_DN_R1_rmphix_fastqc
70-74	0.0022785096745410174	4.02926468105381E-4	8.37981713406093E-4	3.370888099182272E-5	0.0028062643425692422	V03_DN_R1_rmphix_fastqc
75-79	0.002685123051504879	4.2188771366328127E-4	8.895984374248216E-4	3.8975893646795024E-5	0.002983762669041808	V03_DN_R1_rmphix_fastqc
80-84	0.0031781154360102865	4.334751415042204E-4	9.327879411955946E-4	4.582301009825901E-5	0.0031633678005763637	V03_DN_R1_rmphix_fastqc
85-89	0.0037090303116314944	4.471693744071484E-4	9.954653917897648E-4	5.161672401872855E-5	0.0033656210865272997	V03_DN_R1_rmphix_fastqc
90-94	0.0043336980125112095	4.582301009825902E-4	0.0010491889208704825	5.530363287720916E-5	0.0035641874636197558	V03_DN_R1_rmphix_fastqc
95-99	0.004997868308303217	4.8456516425745167E-4	0.0010918517233757578	5.530363287720916E-5	0.003763280541977709	V03_DN_R1_rmphix_fastqc
100-104	0.005680473148387627	5.066866174083353E-4	0.0011545291739699284	5.6357035408203614E-5	0.003934985154529806	V03_DN_R1_rmphix_fastqc
105-109	0.006404160687180821	5.272279667627273E-4	0.0012024589891301764	5.951724300118699E-5	0.004088255222789499	V03_DN_R1_rmphix_fastqc
110-114	0.007167350820886308	5.498761211791082E-4	0.0012488087004939325	6.531095692165653E-5	0.004247845706235161	V03_DN_R1_rmphix_fastqc
115-119	0.008004805833026903	5.693640680025057E-4	0.0013246536827255337	7.163137210762328E-5	0.0044316644478936944	V03_DN_R1_rmphix_fastqc
120-124	0.008892824166655232	6.009661439323395E-4	0.0013852243282577153	7.373817716961221E-5	0.004600208852852808	V03_DN_R1_rmphix_fastqc
125-129	0.009879862338197041	6.209807920212343E-4	0.0014594892066928243	7.373817716961221E-5	0.004776653776794379	V03_DN_R1_rmphix_fastqc
130-134	0.011006476345095616	6.341483236586649E-4	0.0015095258269150614	7.637168349709836E-5	0.00498944108805526	V03_DN_R1_rmphix_fastqc
135-139	0.012274246291147449	6.515294654200736E-4	0.0015674629661197568	7.900518982458451E-5	0.005146924766438932	V03_DN_R1_rmphix_fastqc
140	0.013022688789419014	6.689106071814822E-4	0.001611705872421524	7.900518982458451E-5	0.005267012654972301	V03_DN_R1_rmphix_fastqc
1	7.900518982458451E-6	0.0	2.1068050619889203E-5	0.0	3.9502594912292256E-5	V03_DN_R2_rmphix_fastqc
2	7.900518982458451E-6	0.0	3.9502594912292256E-5	0.0	6.320415185966761E-5	V03_DN_R2_rmphix_fastqc
3	1.0534025309944601E-5	7.900518982458451E-6	4.740311389475071E-5	0.0	1.0797375942693217E-4	V03_DN_R2_rmphix_fastqc
4	1.5801037964916902E-5	1.5801037964916902E-5	5.267012654972301E-5	0.0	1.6854440495911362E-4	V03_DN_R2_rmphix_fastqc
5	1.8434544292403053E-5	1.8434544292403053E-5	7.110467084212606E-5	2.6335063274861504E-6	2.1068050619889203E-4	V03_DN_R2_rmphix_fastqc
6	1.8434544292403053E-5	2.3701556947375353E-5	8.427220247955681E-5	2.6335063274861504E-6	2.4228258212872583E-4	V03_DN_R2_rmphix_fastqc
7	2.6335063274861504E-5	2.8968569602347654E-5	9.480622778950141E-5	2.6335063274861504E-6	2.7388465805855964E-4	V03_DN_R2_rmphix_fastqc
8	2.6335063274861504E-5	3.6869088584806105E-5	1.0534025309944601E-4	2.6335063274861504E-6	3.0548673398839344E-4	V03_DN_R2_rmphix_fastqc
9	2.6335063274861504E-5	3.9502594912292256E-5	1.0797375942693217E-4	2.6335063274861504E-6	3.2655478460828265E-4	V03_DN_R2_rmphix_fastqc
10-14	3.792249111580057E-5	5.583033414270638E-5	1.5221666572869948E-4	5.267012654972301E-6	4.0239976683988386E-4	V03_DN_R2_rmphix_fastqc
15-19	5.4250230346214695E-5	6.794446324914268E-5	2.0699359734041144E-4	8.95392151345291E-6	5.793713920469531E-4	V03_DN_R2_rmphix_fastqc
20-24	7.68983847625956E-5	9.006591640002635E-5	2.480762960491954E-4	1.3167531637430752E-5	7.384351742271165E-4	V03_DN_R2_rmphix_fastqc
25-29	1.279884075158269E-4	1.2219469359535737E-4	2.9179250108546547E-4	1.4747635433922443E-5	9.001324627347663E-4	V03_DN_R2_rmphix_fastqc
30-34	2.2121453150883663E-4	1.458962505427327E-4	3.518364453521497E-4	1.5801037964916902E-5	0.0010897449183137693	V03_DN_R2_rmphix_fastqc
35-39	3.718510934410444E-4	1.659108986316275E-4	3.929191440609337E-4	1.5801037964916902E-5	0.0012946317105921915	V03_DN_R2_rmphix_fastqc
