Base	N_Count	Library
110-114	0.012489543047364788	V05_DN_S220_L003_R2_001_fastqc
115-119	0.011927453813506366	V05_DN_S220_L003_R2_001_fastqc
120-124	0.011373337476582106	V05_DN_S220_L003_R2_001_fastqc
125-129	0.014885398576080473	V05_DN_S220_L003_R2_001_fastqc
130-134	0.01063385128593858	V05_DN_S220_L003_R2_001_fastqc
135-139	0.010827194036592009	V05_DN_S220_L003_R2_001_fastqc
140-144	0.002515448982728114	V05_DN_S220_L003_R2_001_fastqc
145-149	0.0021407228268224996	V05_DN_S220_L003_R2_001_fastqc
150-151	0.003458244045192772	V05_DN_S220_L003_R2_001_fastqc
1	0.011717310077182238	V09_DN_S221_L003_R1_001_fastqc
2	0.004380796109937504	V09_DN_S221_L003_R1_001_fastqc
3	0.0	V09_DN_S221_L003_R1_001_fastqc
4	0.023244609720680442	V09_DN_S221_L003_R1_001_fastqc
5	0.004032443648183437	V09_DN_S221_L003_R1_001_fastqc
6	0.0	V09_DN_S221_L003_R1_001_fastqc
7	8.128224107594885E-4	V09_DN_S221_L003_R1_001_fastqc
8	0.0	V09_DN_S221_L003_R1_001_fastqc
9	1.372297576606929E-4	V09_DN_S221_L003_R1_001_fastqc
10-14	3.103503750172593E-4	V09_DN_S221_L003_R1_001_fastqc
15-19	1.6889816327469892E-5	V09_DN_S221_L003_R1_001_fastqc
20-24	1.8156552552030136E-4	V09_DN_S221_L003_R1_001_fastqc
25-29	4.285790893095486E-4	V09_DN_S221_L003_R1_001_fastqc
30-34	0.0014715252475308144	V09_DN_S221_L003_R1_001_fastqc
35-39	0.0017966542118346097	V09_DN_S221_L003_R1_001_fastqc
40-44	0.0020141105970507846	V09_DN_S221_L003_R1_001_fastqc
45-49	9.922767092388563E-4	V09_DN_S221_L003_R1_001_fastqc
50-54	0.0027192604287226527	V09_DN_S221_L003_R1_001_fastqc
55-59	0.003236511053751418	V09_DN_S221_L003_R1_001_fastqc
60-64	0.0016657581352967183	V09_DN_S221_L003_R1_001_fastqc
65-69	0.0022801252042084354	V09_DN_S221_L003_R1_001_fastqc
70-74	0.0020331116404191884	V09_DN_S221_L003_R1_001_fastqc
75-79	0.0016974265409107243	V09_DN_S221_L003_R1_001_fastqc
80-84	0.0012329565919053022	V09_DN_S221_L003_R1_001_fastqc
85-89	0.001579197826618435	V09_DN_S221_L003_R1_001_fastqc
90-94	0.0019212166072497003	V09_DN_S221_L003_R1_001_fastqc
95-99	0.002011999370009851	V09_DN_S221_L003_R1_001_fastqc
100-104	0.002396242691459791	V09_DN_S221_L003_R1_001_fastqc
105-109	0.0018726583853082245	V09_DN_S221_L003_R1_001_fastqc
110-114	0.0030655016634357855	V09_DN_S221_L003_R1_001_fastqc
115-119	0.004885379372720666	V09_DN_S221_L003_R1_001_fastqc
120-124	0.0032386222807923516	V09_DN_S221_L003_R1_001_fastqc
125-129	0.002081669862360664	V09_DN_S221_L003_R1_001_fastqc
130-134	0.003728426954288979	V09_DN_S221_L003_R1_001_fastqc
135-139	0.004925492686498408	V09_DN_S221_L003_R1_001_fastqc
140-144	0.00423723267115401	V09_DN_S221_L003_R1_001_fastqc
145-149	0.003462412347131328	V09_DN_S221_L003_R1_001_fastqc
150-151	0.003752706065259717	V09_DN_S221_L003_R1_001_fastqc
1	0.014968599720220193	V09_DN_S221_L003_R2_001_fastqc
2	0.01402910368700468	V09_DN_S221_L003_R2_001_fastqc
3	0.005077501033445637	V09_DN_S221_L003_R2_001_fastqc
4	0.0	V09_DN_S221_L003_R2_001_fastqc
5	0.003726315727248045	V09_DN_S221_L003_R2_001_fastqc
6	3.166840561400605E-5	V09_DN_S221_L003_R2_001_fastqc
7	0.004602474949235546	V09_DN_S221_L003_R2_001_fastqc
8	0.0	V09_DN_S221_L003_R2_001_fastqc
9	7.389294643268078E-5	V09_DN_S221_L003_R2_001_fastqc
10-14	0.0022231220741032245	V09_DN_S221_L003_R2_001_fastqc
15-19	0.004148561135434792	V09_DN_S221_L003_R2_001_fastqc
20-24	0.006595473275876993	V09_DN_S221_L003_R2_001_fastqc
25-29	0.0014398568419168084	V09_DN_S221_L003_R2_001_fastqc
30-34	0.0040345548752243705	V09_DN_S221_L003_R2_001_fastqc
35-39	0.0020858923164425317	V09_DN_S221_L003_R2_001_fastqc
40-44	0.006673588676391541	V09_DN_S221_L003_R2_001_fastqc
45-49	0.0023033487016587066	V09_DN_S221_L003_R2_001_fastqc
50-54	0.004233010217072142	V09_DN_S221_L003_R2_001_fastqc
55-59	0.009568080949511695	V09_DN_S221_L003_R2_001_fastqc
60-64	0.008717256452015399	V09_DN_S221_L003_R2_001_fastqc
65-69	0.011628638541463022	V09_DN_S221_L003_R2_001_fastqc
70-74	0.015297951138605855	V09_DN_S221_L003_R2_001_fastqc
75-79	0.012694808197134559	V09_DN_S221_L003_R2_001_fastqc
80-84	0.008590582829559375	V09_DN_S221_L003_R2_001_fastqc
85-89	0.01322683741144986	V09_DN_S221_L003_R2_001_fastqc
90-94	0.014252893753343654	V09_DN_S221_L003_R2_001_fastqc
95-99	0.01644856987591474	V09_DN_S221_L003_R2_001_fastqc
100-104	0.014305674429366998	V09_DN_S221_L003_R2_001_fastqc
105-109	0.011482963875638593	V09_DN_S221_L003_R2_001_fastqc
110-114	0.012977712620619678	V09_DN_S221_L003_R2_001_fastqc
115-119	0.012477351811918383	V09_DN_S221_L003_R2_001_fastqc
120-124	0.011793314250655853	V09_DN_S221_L003_R2_001_fastqc
125-129	0.015291617457483054	V09_DN_S221_L003_R2_001_fastqc
130-134	0.011056496013369978	V09_DN_S221_L003_R2_001_fastqc
135-139	0.011244395220013081	V09_DN_S221_L003_R2_001_fastqc
140-144	0.002662257298617442	V09_DN_S221_L003_R2_001_fastqc
145-149	0.0021956761225710862	V09_DN_S221_L003_R2_001_fastqc
150-151	0.0033779632654939787	V09_DN_S221_L003_R2_001_fastqc
1	0.011843443137749923	V10_DN_S222_L003_R1_001_fastqc
2	0.0040688474621124624	V10_DN_S222_L003_R1_001_fastqc
3	0.0	V10_DN_S222_L003_R1_001_fastqc
4	0.022223809891485653	V10_DN_S222_L003_R1_001_fastqc
5	0.003492160420238255	V10_DN_S222_L003_R1_001_fastqc
6	0.0	V10_DN_S222_L003_R1_001_fastqc
7	8.116336144896251E-4	V10_DN_S222_L003_R1_001_fastqc
8	0.0	V10_DN_S222_L003_R1_001_fastqc
9	1.0679389664337171E-4	V10_DN_S222_L003_R1_001_fastqc
10-14	2.862076430042362E-4	V10_DN_S222_L003_R1_001_fastqc
15-19	2.1358779328674342E-5	V10_DN_S222_L003_R1_001_fastqc
20-24	1.5164733323358784E-4	V10_DN_S222_L003_R1_001_fastqc
25-29	4.036809293119451E-4	V10_DN_S222_L003_R1_001_fastqc
30-34	0.001352010731505086	V10_DN_S222_L003_R1_001_fastqc
35-39	0.0016788000552338035	V10_DN_S222_L003_R1_001_fastqc
40-44	0.0019158825057820888	V10_DN_S222_L003_R1_001_fastqc
45-49	0.0010252214077763684	V10_DN_S222_L003_R1_001_fastqc
50-54	0.002590819932568198	V10_DN_S222_L003_R1_001_fastqc
55-59	0.0029090657445654455	V10_DN_S222_L003_R1_001_fastqc
60-64	0.001533560355798818	V10_DN_S222_L003_R1_001_fastqc
65-69	0.0022042260267191925	V10_DN_S222_L003_R1_001_fastqc
70-74	0.001903067238184884	V10_DN_S222_L003_R1_001_fastqc
75-79	0.001544239745463155	V10_DN_S222_L003_R1_001_fastqc
80-84	0.0011918198865400282	V10_DN_S222_L003_R1_001_fastqc
85-89	0.0015164733323358784	V10_DN_S222_L003_R1_001_fastqc
90-94	0.0017855939518771752	V10_DN_S222_L003_R1_001_fastqc
95-99	0.0018753008250576072	V10_DN_S222_L003_R1_001_fastqc
100-104	0.0022063619046520594	V10_DN_S222_L003_R1_001_fastqc
105-109	0.0018197679988030538	V10_DN_S222_L003_R1_001_fastqc
110-114	0.002906929866632578	V10_DN_S222_L003_R1_001_fastqc
115-119	0.004814268860683197	V10_DN_S222_L003_R1_001_fastqc
120-124	0.003058577199866166	V10_DN_S222_L003_R1_001_fastqc
125-129	0.002046171059687002	V10_DN_S222_L003_R1_001_fastqc
130-134	0.0035690520258214826	V10_DN_S222_L003_R1_001_fastqc
135-139	0.004683980306778283	V10_DN_S222_L003_R1_001_fastqc
140-144	0.004079526851776799	V10_DN_S222_L003_R1_001_fastqc
145-149	0.003291387894548716	V10_DN_S222_L003_R1_001_fastqc
150-151	0.0034441031667487377	V10_DN_S222_L003_R1_001_fastqc
1	0.013787092056659287	V10_DN_S222_L003_R2_001_fastqc
2	0.012729832479889909	V10_DN_S222_L003_R2_001_fastqc
3	0.005040671921567145	V10_DN_S222_L003_R2_001_fastqc
4	0.0	V10_DN_S222_L003_R2_001_fastqc
5	0.0038979772274830675	V10_DN_S222_L003_R2_001_fastqc
6	0.0	V10_DN_S222_L003_R2_001_fastqc
7	0.004239717696741857	V10_DN_S222_L003_R2_001_fastqc
8	0.0	V10_DN_S222_L003_R2_001_fastqc
9	8.543511731469737E-5	V10_DN_S222_L003_R2_001_fastqc
10-14	0.002076073350747146	V10_DN_S222_L003_R2_001_fastqc
15-19	0.0039770047109991625	V10_DN_S222_L003_R2_001_fastqc
20-24	0.006450351357259652	V10_DN_S222_L003_R2_001_fastqc
25-29	0.0014246305812225786	V10_DN_S222_L003_R2_001_fastqc
30-34	0.0038296291336313093	V10_DN_S222_L003_R2_001_fastqc
35-39	0.001952192430640835	V10_DN_S222_L003_R2_001_fastqc
40-44	0.0065165635731785415	V10_DN_S222_L003_R2_001_fastqc
45-49	0.002210633660517794	V10_DN_S222_L003_R2_001_fastqc
50-54	0.003932151274408947	V10_DN_S222_L003_R2_001_fastqc
55-59	0.0092739819845104	V10_DN_S222_L003_R2_001_fastqc
60-64	0.00838332088650468	V10_DN_S222_L003_R2_001_fastqc
65-69	0.011061711814320443	V10_DN_S222_L003_R2_001_fastqc
70-74	0.01493619438454197	V10_DN_S222_L003_R2_001_fastqc
75-79	0.012219357653934592	V10_DN_S222_L003_R2_001_fastqc
80-84	0.008473027759685111	V10_DN_S222_L003_R2_001_fastqc
85-89	0.012558962245260515	V10_DN_S222_L003_R2_001_fastqc
90-94	0.013733695108337603	V10_DN_S222_L003_R2_001_fastqc
