Quality	Count	Library
11	98.0	V05_DN_S220_L003_R2_001_fastqc
12	1331.0	V05_DN_S220_L003_R2_001_fastqc
13	3183.0	V05_DN_S220_L003_R2_001_fastqc
14	3367.0	V05_DN_S220_L003_R2_001_fastqc
15	2665.0	V05_DN_S220_L003_R2_001_fastqc
16	2031.0	V05_DN_S220_L003_R2_001_fastqc
17	2173.0	V05_DN_S220_L003_R2_001_fastqc
18	2712.0	V05_DN_S220_L003_R2_001_fastqc
19	4143.0	V05_DN_S220_L003_R2_001_fastqc
20	6830.0	V05_DN_S220_L003_R2_001_fastqc
21	10829.0	V05_DN_S220_L003_R2_001_fastqc
22	15781.0	V05_DN_S220_L003_R2_001_fastqc
23	21595.0	V05_DN_S220_L003_R2_001_fastqc
24	33034.0	V05_DN_S220_L003_R2_001_fastqc
25	43612.0	V05_DN_S220_L003_R2_001_fastqc
26	52619.0	V05_DN_S220_L003_R2_001_fastqc
27	67708.0	V05_DN_S220_L003_R2_001_fastqc
28	77441.0	V05_DN_S220_L003_R2_001_fastqc
29	83698.0	V05_DN_S220_L003_R2_001_fastqc
30	86389.0	V05_DN_S220_L003_R2_001_fastqc
31	94580.0	V05_DN_S220_L003_R2_001_fastqc
32	107300.0	V05_DN_S220_L003_R2_001_fastqc
33	148105.0	V05_DN_S220_L003_R2_001_fastqc
34	250318.0	V05_DN_S220_L003_R2_001_fastqc
35	622873.0	V05_DN_S220_L003_R2_001_fastqc
36	5596382.0	V05_DN_S220_L003_R2_001_fastqc
37	2693196.0	V05_DN_S220_L003_R2_001_fastqc
13	4.0	V09_DN_S221_L003_R1_001_fastqc
14	21.0	V09_DN_S221_L003_R1_001_fastqc
15	46.0	V09_DN_S221_L003_R1_001_fastqc
16	115.0	V09_DN_S221_L003_R1_001_fastqc
17	237.0	V09_DN_S221_L003_R1_001_fastqc
18	308.0	V09_DN_S221_L003_R1_001_fastqc
19	437.0	V09_DN_S221_L003_R1_001_fastqc
20	605.0	V09_DN_S221_L003_R1_001_fastqc
21	1048.0	V09_DN_S221_L003_R1_001_fastqc
22	1641.0	V09_DN_S221_L003_R1_001_fastqc
23	2523.0	V09_DN_S221_L003_R1_001_fastqc
24	3502.0	V09_DN_S221_L003_R1_001_fastqc
25	5165.0	V09_DN_S221_L003_R1_001_fastqc
26	7565.0	V09_DN_S221_L003_R1_001_fastqc
27	11065.0	V09_DN_S221_L003_R1_001_fastqc
28	15411.0	V09_DN_S221_L003_R1_001_fastqc
29	21049.0	V09_DN_S221_L003_R1_001_fastqc
30	28077.0	V09_DN_S221_L003_R1_001_fastqc
31	39001.0	V09_DN_S221_L003_R1_001_fastqc
32	55200.0	V09_DN_S221_L003_R1_001_fastqc
33	87573.0	V09_DN_S221_L003_R1_001_fastqc
34	152504.0	V09_DN_S221_L003_R1_001_fastqc
35	360618.0	V09_DN_S221_L003_R1_001_fastqc
36	4171668.0	V09_DN_S221_L003_R1_001_fastqc
37	4507781.0	V09_DN_S221_L003_R1_001_fastqc
9	1.0	V09_DN_S221_L003_R2_001_fastqc
10	0.0	V09_DN_S221_L003_R2_001_fastqc
11	178.0	V09_DN_S221_L003_R2_001_fastqc
12	2680.0	V09_DN_S221_L003_R2_001_fastqc
13	6795.0	V09_DN_S221_L003_R2_001_fastqc
14	6920.0	V09_DN_S221_L003_R2_001_fastqc
15	5596.0	V09_DN_S221_L003_R2_001_fastqc
16	4013.0	V09_DN_S221_L003_R2_001_fastqc
17	3641.0	V09_DN_S221_L003_R2_001_fastqc
18	3894.0	V09_DN_S221_L003_R2_001_fastqc
19	5113.0	V09_DN_S221_L003_R2_001_fastqc
20	7377.0	V09_DN_S221_L003_R2_001_fastqc
21	10386.0	V09_DN_S221_L003_R2_001_fastqc
22	13254.0	V09_DN_S221_L003_R2_001_fastqc
23	15855.0	V09_DN_S221_L003_R2_001_fastqc
24	18922.0	V09_DN_S221_L003_R2_001_fastqc
25	22972.0	V09_DN_S221_L003_R2_001_fastqc
26	26299.0	V09_DN_S221_L003_R2_001_fastqc
27	30490.0	V09_DN_S221_L003_R2_001_fastqc
28	34240.0	V09_DN_S221_L003_R2_001_fastqc
29	40033.0	V09_DN_S221_L003_R2_001_fastqc
30	46984.0	V09_DN_S221_L003_R2_001_fastqc
31	59919.0	V09_DN_S221_L003_R2_001_fastqc
32	79028.0	V09_DN_S221_L003_R2_001_fastqc
33	124029.0	V09_DN_S221_L003_R2_001_fastqc
