GC_Content	Count	Library
36	56042.5	V03_DN_S219_L003_R1_001_fastqc
37	62016.5	V03_DN_S219_L003_R1_001_fastqc
38	67970.0	V03_DN_S219_L003_R1_001_fastqc
39	73598.0	V03_DN_S219_L003_R1_001_fastqc
40	78774.5	V03_DN_S219_L003_R1_001_fastqc
41	83108.0	V03_DN_S219_L003_R1_001_fastqc
42	87302.0	V03_DN_S219_L003_R1_001_fastqc
43	91478.5	V03_DN_S219_L003_R1_001_fastqc
44	95080.5	V03_DN_S219_L003_R1_001_fastqc
45	98582.5	V03_DN_S219_L003_R1_001_fastqc
46	102709.5	V03_DN_S219_L003_R1_001_fastqc
47	107249.0	V03_DN_S219_L003_R1_001_fastqc
48	111888.5	V03_DN_S219_L003_R1_001_fastqc
49	117825.5	V03_DN_S219_L003_R1_001_fastqc
50	125391.0	V03_DN_S219_L003_R1_001_fastqc
51	134422.5	V03_DN_S219_L003_R1_001_fastqc
52	145931.0	V03_DN_S219_L003_R1_001_fastqc
53	158927.5	V03_DN_S219_L003_R1_001_fastqc
54	172581.0	V03_DN_S219_L003_R1_001_fastqc
55	188436.5	V03_DN_S219_L003_R1_001_fastqc
56	206212.0	V03_DN_S219_L003_R1_001_fastqc
57	226353.5	V03_DN_S219_L003_R1_001_fastqc
58	247997.0	V03_DN_S219_L003_R1_001_fastqc
59	269694.5	V03_DN_S219_L003_R1_001_fastqc
60	292761.0	V03_DN_S219_L003_R1_001_fastqc
61	315032.5	V03_DN_S219_L003_R1_001_fastqc
62	334372.5	V03_DN_S219_L003_R1_001_fastqc
63	351086.0	V03_DN_S219_L003_R1_001_fastqc
64	364781.0	V03_DN_S219_L003_R1_001_fastqc
65	377656.5	V03_DN_S219_L003_R1_001_fastqc
66	383994.0	V03_DN_S219_L003_R1_001_fastqc
67	367130.5	V03_DN_S219_L003_R1_001_fastqc
68	339205.0	V03_DN_S219_L003_R1_001_fastqc
69	312902.0	V03_DN_S219_L003_R1_001_fastqc
70	279795.5	V03_DN_S219_L003_R1_001_fastqc
71	242198.5	V03_DN_S219_L003_R1_001_fastqc
72	203897.0	V03_DN_S219_L003_R1_001_fastqc
73	165994.0	V03_DN_S219_L003_R1_001_fastqc
74	130350.5	V03_DN_S219_L003_R1_001_fastqc
75	99601.0	V03_DN_S219_L003_R1_001_fastqc
76	74063.0	V03_DN_S219_L003_R1_001_fastqc
77	53348.5	V03_DN_S219_L003_R1_001_fastqc
78	37441.0	V03_DN_S219_L003_R1_001_fastqc
79	25646.0	V03_DN_S219_L003_R1_001_fastqc
80	16893.0	V03_DN_S219_L003_R1_001_fastqc
81	10994.5	V03_DN_S219_L003_R1_001_fastqc
82	7160.0	V03_DN_S219_L003_R1_001_fastqc
83	4435.0	V03_DN_S219_L003_R1_001_fastqc
84	2815.5	V03_DN_S219_L003_R1_001_fastqc
85	1681.0	V03_DN_S219_L003_R1_001_fastqc
86	870.0	V03_DN_S219_L003_R1_001_fastqc
87	502.5	V03_DN_S219_L003_R1_001_fastqc
88	301.0	V03_DN_S219_L003_R1_001_fastqc
89	167.0	V03_DN_S219_L003_R1_001_fastqc
90	113.0	V03_DN_S219_L003_R1_001_fastqc
91	65.5	V03_DN_S219_L003_R1_001_fastqc
92	35.5	V03_DN_S219_L003_R1_001_fastqc
93	24.0	V03_DN_S219_L003_R1_001_fastqc
94	19.0	V03_DN_S219_L003_R1_001_fastqc
95	19.0	V03_DN_S219_L003_R1_001_fastqc
96	42.0	V03_DN_S219_L003_R1_001_fastqc
97	92.0	V03_DN_S219_L003_R1_001_fastqc
98	209.0	V03_DN_S219_L003_R1_001_fastqc
99	182.0	V03_DN_S219_L003_R1_001_fastqc
100	34.5	V03_DN_S219_L003_R1_001_fastqc
0	19.0	V03_DN_S219_L003_R2_001_fastqc
1	25.5	V03_DN_S219_L003_R2_001_fastqc
2	44.5	V03_DN_S219_L003_R2_001_fastqc
3	70.0	V03_DN_S219_L003_R2_001_fastqc
4	95.5	V03_DN_S219_L003_R2_001_fastqc
5	145.5	V03_DN_S219_L003_R2_001_fastqc
6	226.5	V03_DN_S219_L003_R2_001_fastqc
7	324.0	V03_DN_S219_L003_R2_001_fastqc
8	478.0	V03_DN_S219_L003_R2_001_fastqc
9	695.0	V03_DN_S219_L003_R2_001_fastqc
10	933.0	V03_DN_S219_L003_R2_001_fastqc
11	1187.0	V03_DN_S219_L003_R2_001_fastqc
12	1551.0	V03_DN_S219_L003_R2_001_fastqc
13	1951.0	V03_DN_S219_L003_R2_001_fastqc
14	2337.0	V03_DN_S219_L003_R2_001_fastqc
15	2741.5	V03_DN_S219_L003_R2_001_fastqc
16	3193.5	V03_DN_S219_L003_R2_001_fastqc
17	3704.5	V03_DN_S219_L003_R2_001_fastqc
18	4282.0	V03_DN_S219_L003_R2_001_fastqc
19	4921.5	V03_DN_S219_L003_R2_001_fastqc
20	5635.5	V03_DN_S219_L003_R2_001_fastqc
21	6479.5	V03_DN_S219_L003_R2_001_fastqc
22	7551.5	V03_DN_S219_L003_R2_001_fastqc
23	8772.5	V03_DN_S219_L003_R2_001_fastqc
24	10295.0	V03_DN_S219_L003_R2_001_fastqc
25	12172.5	V03_DN_S219_L003_R2_001_fastqc
26	14297.5	V03_DN_S219_L003_R2_001_fastqc
27	16949.5	V03_DN_S219_L003_R2_001_fastqc
28	20234.0	V03_DN_S219_L003_R2_001_fastqc
29	23945.0	V03_DN_S219_L003_R2_001_fastqc
30	28445.5	V03_DN_S219_L003_R2_001_fastqc
31	33469.5	V03_DN_S219_L003_R2_001_fastqc
32	38742.5	V03_DN_S219_L003_R2_001_fastqc
33	45009.5	V03_DN_S219_L003_R2_001_fastqc
34	51624.5	V03_DN_S219_L003_R2_001_fastqc
35	57669.5	V03_DN_S219_L003_R2_001_fastqc
36	63666.0	V03_DN_S219_L003_R2_001_fastqc
37	70442.5	V03_DN_S219_L003_R2_001_fastqc
38	77099.0	V03_DN_S219_L003_R2_001_fastqc
39	83053.0	V03_DN_S219_L003_R2_001_fastqc
40	88901.5	V03_DN_S219_L003_R2_001_fastqc
41	93948.5	V03_DN_S219_L003_R2_001_fastqc
42	99142.5	V03_DN_S219_L003_R2_001_fastqc
43	103557.5	V03_DN_S219_L003_R2_001_fastqc
44	107095.5	V03_DN_S219_L003_R2_001_fastqc
45	110649.0	V03_DN_S219_L003_R2_001_fastqc
46	113315.5	V03_DN_S219_L003_R2_001_fastqc
47	116224.0	V03_DN_S219_L003_R2_001_fastqc
48	119888.5	V03_DN_S219_L003_R2_001_fastqc
49	124022.5	V03_DN_S219_L003_R2_001_fastqc
50	129174.5	V03_DN_S219_L003_R2_001_fastqc
51	135820.0	V03_DN_S219_L003_R2_001_fastqc
