Quality	Count	Library
37	1.8747404E7	WUB_TM04_R2_rmphix_fastqc
32	76.0	WUB_TM05_R1_rmphix_fastqc
33	11031.0	WUB_TM05_R1_rmphix_fastqc
34	309514.0	WUB_TM05_R1_rmphix_fastqc
35	3742978.0	WUB_TM05_R1_rmphix_fastqc
36	4.2462272E7	WUB_TM05_R1_rmphix_fastqc
37	2.0375152E7	WUB_TM05_R1_rmphix_fastqc
32	22.0	WUB_TM05_R2_rmphix_fastqc
33	3720.0	WUB_TM05_R2_rmphix_fastqc
34	144212.0	WUB_TM05_R2_rmphix_fastqc
35	2757342.0	WUB_TM05_R2_rmphix_fastqc
36	4.7128637E7	WUB_TM05_R2_rmphix_fastqc
37	1.686709E7	WUB_TM05_R2_rmphix_fastqc
32	91.0	WUB_TM06_R1_rmphix_fastqc
33	15240.0	WUB_TM06_R1_rmphix_fastqc
34	436084.0	WUB_TM06_R1_rmphix_fastqc
35	5358435.0	WUB_TM06_R1_rmphix_fastqc
36	6.094859E7	WUB_TM06_R1_rmphix_fastqc
37	2.4614356E7	WUB_TM06_R1_rmphix_fastqc
31	1.0	WUB_TM06_R2_rmphix_fastqc
32	33.0	WUB_TM06_R2_rmphix_fastqc
33	4542.0	WUB_TM06_R2_rmphix_fastqc
34	174257.0	WUB_TM06_R2_rmphix_fastqc
35	3548888.0	WUB_TM06_R2_rmphix_fastqc
36	6.5643158E7	WUB_TM06_R2_rmphix_fastqc
37	2.2001917E7	WUB_TM06_R2_rmphix_fastqc
32	56.0	WUB_TM07_R1_rmphix_fastqc
33	8108.0	WUB_TM07_R1_rmphix_fastqc
34	242283.0	WUB_TM07_R1_rmphix_fastqc
35	3181581.0	WUB_TM07_R1_rmphix_fastqc
36	4.412945E7	WUB_TM07_R1_rmphix_fastqc
37	1.8353601E7	WUB_TM07_R1_rmphix_fastqc
32	24.0	WUB_TM07_R2_rmphix_fastqc
33	3050.0	WUB_TM07_R2_rmphix_fastqc
34	125912.0	WUB_TM07_R2_rmphix_fastqc
35	2609458.0	WUB_TM07_R2_rmphix_fastqc
36	4.8214658E7	WUB_TM07_R2_rmphix_fastqc
37	1.4961977E7	WUB_TM07_R2_rmphix_fastqc
32	47.0	WUB_TM08_R1_rmphix_fastqc
33	7592.0	WUB_TM08_R1_rmphix_fastqc
34	222632.0	WUB_TM08_R1_rmphix_fastqc
35	2931846.0	WUB_TM08_R1_rmphix_fastqc
36	4.3762541E7	WUB_TM08_R1_rmphix_fastqc
37	2.0885556E7	WUB_TM08_R1_rmphix_fastqc
32	19.0	WUB_TM08_R2_rmphix_fastqc
33	3215.0	WUB_TM08_R2_rmphix_fastqc
34	129045.0	WUB_TM08_R2_rmphix_fastqc
35	2633260.0	WUB_TM08_R2_rmphix_fastqc
36	4.947587E7	WUB_TM08_R2_rmphix_fastqc
37	1.5568805E7	WUB_TM08_R2_rmphix_fastqc
32	49.0	WUB_TM09_R1_rmphix_fastqc
33	8691.0	WUB_TM09_R1_rmphix_fastqc
34	258679.0	WUB_TM09_R1_rmphix_fastqc
35	3431004.0	WUB_TM09_R1_rmphix_fastqc
36	4.811135E7	WUB_TM09_R1_rmphix_fastqc
37	1.8493189E7	WUB_TM09_R1_rmphix_fastqc
32	19.0	WUB_TM09_R2_rmphix_fastqc
33	4111.0	WUB_TM09_R2_rmphix_fastqc
34	169365.0	WUB_TM09_R2_rmphix_fastqc
35	3516521.0	WUB_TM09_R2_rmphix_fastqc
36	5.3554904E7	WUB_TM09_R2_rmphix_fastqc
37	1.3058042E7	WUB_TM09_R2_rmphix_fastqc
32	48.0	WUB_TM10_R1_rmphix_fastqc
33	8309.0	WUB_TM10_R1_rmphix_fastqc
34	246977.0	WUB_TM10_R1_rmphix_fastqc
35	3184056.0	WUB_TM10_R1_rmphix_fastqc
36	4.4895083E7	WUB_TM10_R1_rmphix_fastqc
37	1.9733627E7	WUB_TM10_R1_rmphix_fastqc
32	15.0	WUB_TM10_R2_rmphix_fastqc
33	3137.0	WUB_TM10_R2_rmphix_fastqc
34	126048.0	WUB_TM10_R2_rmphix_fastqc
35	2717615.0	WUB_TM10_R2_rmphix_fastqc
36	5.0094012E7	WUB_TM10_R2_rmphix_fastqc
37	1.5127273E7	WUB_TM10_R2_rmphix_fastqc
32	87.0	WUB_TM11_R1_rmphix_fastqc
33	12368.0	WUB_TM11_R1_rmphix_fastqc
34	355469.0	WUB_TM11_R1_rmphix_fastqc
35	4365947.0	WUB_TM11_R1_rmphix_fastqc
36	4.9788888E7	WUB_TM11_R1_rmphix_fastqc
37	2.246194E7	WUB_TM11_R1_rmphix_fastqc
32	27.0	WUB_TM11_R2_rmphix_fastqc
33	4161.0	WUB_TM11_R2_rmphix_fastqc
34	162375.0	WUB_TM11_R2_rmphix_fastqc
35	3225898.0	WUB_TM11_R2_rmphix_fastqc
36	5.4910993E7	WUB_TM11_R2_rmphix_fastqc
37	1.8681245E7	WUB_TM11_R2_rmphix_fastqc
32	57.0	WUB_TM12_R1_rmphix_fastqc
33	7800.0	WUB_TM12_R1_rmphix_fastqc
34	230456.0	WUB_TM12_R1_rmphix_fastqc
35	2958602.0	WUB_TM12_R1_rmphix_fastqc
36	4.0428605E7	WUB_TM12_R1_rmphix_fastqc
37	2.0177578E7	WUB_TM12_R1_rmphix_fastqc
31	1.0	WUB_TM12_R2_rmphix_fastqc
32	25.0	WUB_TM12_R2_rmphix_fastqc
33	3249.0	WUB_TM12_R2_rmphix_fastqc
34	129403.0	WUB_TM12_R2_rmphix_fastqc
35	2602726.0	WUB_TM12_R2_rmphix_fastqc
36	4.56925E7	WUB_TM12_R2_rmphix_fastqc
37	1.5375194E7	WUB_TM12_R2_rmphix_fastqc
