Length	Count	Library
55-59	218417.0	V10_DN_R2_rmphix_fastqc
60-64	213420.0	V10_DN_R2_rmphix_fastqc
65-69	222003.0	V10_DN_R2_rmphix_fastqc
70-74	223750.0	V10_DN_R2_rmphix_fastqc
75-79	221897.0	V10_DN_R2_rmphix_fastqc
80-84	225586.0	V10_DN_R2_rmphix_fastqc
85-89	225968.0	V10_DN_R2_rmphix_fastqc
90-94	235504.0	V10_DN_R2_rmphix_fastqc
95-99	238350.0	V10_DN_R2_rmphix_fastqc
100-104	248130.0	V10_DN_R2_rmphix_fastqc
105-109	258604.0	V10_DN_R2_rmphix_fastqc
110-114	273688.0	V10_DN_R2_rmphix_fastqc
115-119	282563.0	V10_DN_R2_rmphix_fastqc
120-124	288493.0	V10_DN_R2_rmphix_fastqc
125-129	302273.0	V10_DN_R2_rmphix_fastqc
130-134	334541.0	V10_DN_R2_rmphix_fastqc
135-139	334094.0	V10_DN_R2_rmphix_fastqc
140-144	348073.0	V10_DN_R2_rmphix_fastqc
145-149	431818.0	V10_DN_R2_rmphix_fastqc
150-152	2.2855453E7	V10_DN_R2_rmphix_fastqc
50-54	185252.0	V11_DN_R1_rmphix_fastqc
55-59	188377.0	V11_DN_R1_rmphix_fastqc
60-64	182149.0	V11_DN_R1_rmphix_fastqc
65-69	173815.0	V11_DN_R1_rmphix_fastqc
70-74	176661.0	V11_DN_R1_rmphix_fastqc
75-79	179316.0	V11_DN_R1_rmphix_fastqc
80-84	174970.0	V11_DN_R1_rmphix_fastqc
85-89	180922.0	V11_DN_R1_rmphix_fastqc
90-94	179407.0	V11_DN_R1_rmphix_fastqc
95-99	181964.0	V11_DN_R1_rmphix_fastqc
100-104	189593.0	V11_DN_R1_rmphix_fastqc
105-109	187834.0	V11_DN_R1_rmphix_fastqc
110-114	194856.0	V11_DN_R1_rmphix_fastqc
115-119	205819.0	V11_DN_R1_rmphix_fastqc
120-124	208862.0	V11_DN_R1_rmphix_fastqc
125-129	216202.0	V11_DN_R1_rmphix_fastqc
130-134	241911.0	V11_DN_R1_rmphix_fastqc
135-139	233075.0	V11_DN_R1_rmphix_fastqc
140-144	253496.0	V11_DN_R1_rmphix_fastqc
145-149	294631.0	V11_DN_R1_rmphix_fastqc
150-152	2.2862181E7	V11_DN_R1_rmphix_fastqc
50-54	217825.0	V11_DN_R2_rmphix_fastqc
55-59	210283.0	V11_DN_R2_rmphix_fastqc
60-64	195101.0	V11_DN_R2_rmphix_fastqc
65-69	207212.0	V11_DN_R2_rmphix_fastqc
70-74	206628.0	V11_DN_R2_rmphix_fastqc
75-79	205331.0	V11_DN_R2_rmphix_fastqc
80-84	205295.0	V11_DN_R2_rmphix_fastqc
85-89	205334.0	V11_DN_R2_rmphix_fastqc
90-94	216832.0	V11_DN_R2_rmphix_fastqc
95-99	218112.0	V11_DN_R2_rmphix_fastqc
100-104	230837.0	V11_DN_R2_rmphix_fastqc
105-109	242003.0	V11_DN_R2_rmphix_fastqc
110-114	250034.0	V11_DN_R2_rmphix_fastqc
115-119	260993.0	V11_DN_R2_rmphix_fastqc
120-124	263993.0	V11_DN_R2_rmphix_fastqc
125-129	279633.0	V11_DN_R2_rmphix_fastqc
130-134	318323.0	V11_DN_R2_rmphix_fastqc
135-139	316473.0	V11_DN_R2_rmphix_fastqc
140-144	330748.0	V11_DN_R2_rmphix_fastqc
145-149	416225.0	V11_DN_R2_rmphix_fastqc
150-152	2.1894078E7	V11_DN_R2_rmphix_fastqc
50-54	166286.0	V17_DN_R1_rmphix_fastqc
55-59	166727.0	V17_DN_R1_rmphix_fastqc
60-64	164508.0	V17_DN_R1_rmphix_fastqc
